id,name,neighborhood,subNeighborhood,address,location,days,hours,deals,description,website
1,"The Spaniard","west_village","West Village","190 West 4th Street, NY 10014","40.734;-74.003","monday;tuesday;wednesday;thursday;friday","4:00 PM - 6:00 PM","$9 'Little Spaniard' burger, $2 off all draft beers","Lively gastropub with vintage charm and extensive whiskey selection","https://thespaniardnyc.com/"
2,"Hudson Hound","west_village","West Village","575 Hudson Street, NY 10014","40.734;-74.0061","tuesday;wednesday;thursday;friday","4:00 PM - 6:00 PM","$7 draught beer, $10 Aperol Spritz/Margarita/Sangria, 25% off wine, $20 beer bucket","Irish-American gastropub with cozy atmosphere","https://hudsonhoundnyc.com/"
3,"Dante NYC","west_village","Greenwich Village","79-81 MacDougal St, NY 10012","40.7286;-74.0015","monday;tuesday;wednesday;thursday;friday;saturday;sunday","3:00 PM - 5:00 PM","$10 martinis, $8 negronis, $1.50 oysters","Award-winning historic cafe known for Negronis and Italian fare","https://dantenewyork.com/"
4,"61 Grove Street","west_village","West Village","61 Grove Street, NY 10014","40.7332;-74.0025","monday;tuesday;wednesday;thursday","4:00 PM - 7:00 PM","$6 Pilsners, $10 house wines/Aperol Spritz/Margarita, food $6-$14","Neighborhood tavern with craft beers and comfort food","https://61grovestreet.com/"
5,"Bobo","west_village","West Village","181 W 10th St, NY 10014","40.735;-74.0026","monday;tuesday;wednesday;thursday;friday;saturday;sunday","5:00 PM - 7:00 PM","$2 oysters, $8 wines, $10 cocktails, $5 beer; Late night: $14 martinis","Romantic French restaurant in a townhouse setting","https://bobonyc.com/"
6,"Down the Hatch","west_village","West Village","179 W 4th St, NY 10014","40.7323;-74.0021","monday;tuesday;wednesday;thursday;friday","Open - 7:00 PM","1/2 off bar, $5 Jell-O shots, $5 Michelob Ultra; $1 wings Mon","Underground sports bar with award-winning buffalo wings","https://downthehatchnyc.com/"
7,"Boucherie West Village","west_village","West Village","99 7th Avenue South, NY 10014","40.7334;-74.0029","monday;tuesday;wednesday;thursday;friday;saturday;sunday","2:00 PM - 7:00 PM","$9 Kronenbourg, $12 house wines, $14 cocktails, $12 absinthe, $17 half dozen oysters","French steakhouse with Belle Époque ambiance","https://boucherieus.com/location/boucherie-west-village/"
8,"LELABAR","west_village","West Village","75 Washington Pl, NY 10011","40.7307;-73.9997","monday;tuesday;wednesday;thursday;friday;saturday;sunday","Until 6:00 PM","$12 wine/glass, $44/bottle, $6 beer, $3 oysters, $5 cheese/charcuterie","Intimate wine bar with curved counters and curated selection","https://lelabar.com/"
9,"Due West","west_village","West Village","189 W 10th St, NY 10014","40.7348;-74.0031","monday;tuesday;wednesday;thursday;friday","4:00 PM - 7:00 PM","$10-$11 draft cocktails, $7 wines, $5-$6 beers, $1.50 oysters (min 6)","Contemporary American bar with stylish interior","https://duewestnyc.com/"
10,"Bandits","west_village","West Village","44 Bedford St, NY 10014","40.7318;-74.0034","monday;tuesday;wednesday;thursday;friday;saturday;sunday","Happy Hour Daily","$10 martini, $15 Martini 'Happy Meal' (martini + tots, add $2 for gin)","Retro-inspired cocktail bar with vibrant atmosphere","https://banditsnyc.com/"
