name,address,image
The Spaniard,"190 West 4th Street, NY 10014",restaurant_images/image1.jpg
Hudson Hound,"575 Hudson Street, NY 10014",restaurant_images/image2.jpg
Dante NYC,"79-81 MacDougal St, NY 10012",restaurant_images/image3.jpg
61 Grove Street,"61 Grove Street, NY 10014",restaurant_images/image4.jpg
Bobo,"181 W 10th St, NY 10014",Error
Down the Hatch,"179 W 4th St, NY 10014",restaurant_images/image6.jpg
Boucherie West Village,"99 7th Avenue South, NY 10014",Error
LELABAR,"75 Washington Pl, NY 10011",restaurant_images/image8.jpg
Due West,"189 W 10th St, NY 10014",Error
Bandits,"44 Bedford St, NY 10014",restaurant_images/image10.jpg
The Happiest Hour,"121 W 10th St, NY 10011",restaurant_images/image11.jpg
Katana Kitten,"531 Hudson St, New York, NY 10014",restaurant_images/image12.jpg
Tile Bar,"115 1st Ave, NY 10003",restaurant_images/image13.jpg
The Gray Mare,"61 2nd Ave, NY 10003",restaurant_images/image14.jpg
The Mermaid Inn,"96 2nd Ave, NY 10003",restaurant_images/image15.jpg
The Black Ant,"60 2nd Ave, NY 10003",restaurant_images/image16.jpg
The Wayland,"700 E 9th St, NY 10009",restaurant_images/image17.jpg
Keybar,"432 E 13th St, NY 10009",Error
A10 Kitchen,"162 Avenue A, NY 10009",restaurant_images/image19.jpg
The Smith,"55 3rd Ave, New York, NY 10003",restaurant_images/image20.jpg
Empellón Al Pastor,"132 St Marks Pl, New York, NY 10009",restaurant_images/image21.jpg
Upstate Craft Beer,"95 1st Ave, NY 10003",restaurant_images/image22.jpg
Loreley Beer Garden,"7 Rivington St, New York, NY 10002",restaurant_images/image23.jpg
Bar Belly,"14 Orchard St, New York, NY 10002",restaurant_images/image24.jpg
Verlaine,"110 Rivington St, NY, NY 10002",Error
The Ten Bells,"247 Broome St, New York, NY 10002",restaurant_images/image26.jpg
The Magician,"118 Rivington St, New York, NY 10002",restaurant_images/image27.jpg
Nurse Bettie,"106 Norfolk St, New York, NY 10002",restaurant_images/image28.jpg
The Friki Tiki,"357 W 44th St, NY 10036",restaurant_images/image29.jpg
Valerie,"45 W 45th St, NY 10036",restaurant_images/image30.jpg
The Rum House,"228 W 47th St, NY 10036",restaurant_images/image31.jpg
The Perfect Pint,"123 W 45th St, NY 10036",restaurant_images/image32.jpg
P.J. Clarke's,"915 3rd Ave, New York, NY 10022",restaurant_images/image33.jpg
The Campbell,"15 Vanderbilt Ave, NY 10017",restaurant_images/image34.jpg
Industry Bar,"355 W 52nd St, NY 10019",Error
The Mermaid Inn Chelsea,"227 10th Ave, New York, NY 10011",restaurant_images/image36.jpg
Porchlight,"271 11th Ave, NY 10001",restaurant_images/image37.jpg
Fonda,"189 9th Ave, New York, NY 10011",restaurant_images/image38.jpg
Bathtub Gin,"132 9th Ave, NY 10011",restaurant_images/image39.jpg
Bocca di Bacco,"169 9th Ave, New York, NY 10011",restaurant_images/image40.jpg
The Chelsea Bell,"316 8th Ave, New York, NY 10001",restaurant_images/image41.jpg
Mermaid Oyster Bar Times Square,"127 W 43rd St, NY 10036",restaurant_images/image42.jpg
Haven Rooftop,"132 W 47th St, NY 10036",restaurant_images/image43.jpg
Jimmy's Corner,"140 W 44th St, NY 10036",restaurant_images/image44.jpg
Dutch Fred's,"307 W 47th St, New York, NY 10036",restaurant_images/image45.jpg
The Long Room,"120 W 44th St, NY 10036",restaurant_images/image46.jpg
The Ginger Man,"11 East 36th Street, NY 10016",restaurant_images/image47.jpg
Cask Bar & Kitchen,"167 E 33rd St, New York, NY 10016",restaurant_images/image48.jpg
Joshua Tree,"513 3rd Avenue, NY 10016",restaurant_images/image49.jpg
The Flying Cock,"497 3rd Ave, NY 10016",restaurant_images/image50.jpg
The Dead Rabbit,"30 Water St, New York, NY 10004",restaurant_images/image51.jpg
BlackTail,"22 Battery Pl, New York, NY 10004",restaurant_images/image52.jpg
The Jeffrey,"311 E 60th St, New York, NY 10022",restaurant_images/image53.jpg
The Penrose,"1590 2nd Ave, New York, NY 10028",restaurant_images/image54.jpg
As Is,"734 10th Ave, New York, NY 10019",restaurant_images/image55.jpg
Mother's Ruin,"18 Spring St, New York, NY 10012",restaurant_images/image56.jpg
Barn Joo,"35 Union Square W, New York, NY 10003",restaurant_images/image57.jpg
Oscar Wilde,"45 W 27th St, New York, NY 10001",restaurant_images/image58.jpg
Dear Irving,"55 Irving Pl, New York, NY 10003",restaurant_images/image59.jpg
Skinny Dennis,"152 Metropolitan Ave, Brooklyn, NY 11211",restaurant_images/image60.jpg
Le Crocodile,"80 Wythe Ave, Brooklyn, NY 11249",restaurant_images/image61.jpg
Ensenada,"168 Borinquen Pl, Brooklyn, NY 11211",restaurant_images/image62.jpg
Westlight,"111 N 12th St, Brooklyn, NY 11249",restaurant_images/image63.jpg
The Ides,"80 Wythe Ave, Brooklyn, NY 11249",restaurant_images/image64.jpg
Radegast Hall,"113 N 3rd St, Brooklyn, NY 11249",restaurant_images/image65.jpg
The Rookery,"425 Troutman St, Brooklyn, NY 11237",restaurant_images/image66.jpg
Maite,"159 Central Ave, Brooklyn, NY 11221",restaurant_images/image67.jpg
Left Hand Path,"89 Wyckoff Ave, Brooklyn, NY 11237",restaurant_images/image68.jpg
The Johnson's,"369 Troutman St, Brooklyn, NY 11237",restaurant_images/image69.jpg
The Cobra Club,"6 Wyckoff Ave, Brooklyn, NY 11237",restaurant_images/image70.jpg
Siren Oyster Bar,"596 5th Ave, Brooklyn, NY 11215",restaurant_images/image71.jpg
The Owl Farm,"297 7th St, Brooklyn, NY 11215",restaurant_images/image72.jpg
The Gate,"321 5th Ave, Brooklyn, NY 11215",restaurant_images/image73.jpg
The Garret,"296 Bleecker St, New York, NY 10014",restaurant_images/image74.jpg
William Barnacle Tavern,"80 St Marks Pl, NY 10003",restaurant_images/image75.jpg
Lovers of Today,"132½ E 7th St, NY 10009",restaurant_images/image76.jpg
Bibi Wine Bar,"211 E 4th St, NY 10009",restaurant_images/image77.jpg
